timestamp,satellite,azimuth_deg,elevation_deg,distance_km,relative_velocity_kms,doppler_shift_hz,tx_freq_ghz,rx_freq_hz,ue_lat,ue_lon,ue_alt_m,time_minutes
2026-02-06T21:30:09+00:00,SAT-58402,192.2687042392292,31.66269740686168,975.2710535306139,0.5134775934512185,-17984.157330728427,10.5,10499982015.842669,47.655,-122.3035,60.0,7.033333333333333
2026-02-06T21:30:10+00:00,SAT-58402,191.77283562190885,31.638498127088102,975.7831545614972,0.5625540193194979,-19703.021357711168,10.5,10499980296.978642,47.655,-122.3035,60.0,7.05
2026-02-06T21:30:11+00:00,SAT-58402,191.27778627379624,31.61204313721992,976.3442004511234,0.6115451827463171,-21418.8991333342,10.5,10499978581.100866,47.655,-122.3035,60.0,7.066666666666666
2026-02-06T21:30:12+00:00,SAT-58402,190.7836280509639,31.583345298593674,976.9541061656278,0.660443889247613,-23131.538676333,10.5,10499976868.461323,47.655,-122.3035,60.0,7.083333333333333
2026-02-06T21:30:13+00:00,SAT-58402,190.29043201883985,31.552418513785824,977.6127794959499,0.7092430116868279,-24840.69036423756,10.5,10499975159.309635,47.655,-122.3035,60.0,7.1
2026-02-06T21:30:14+00:00,SAT-58402,189.7982683954318,31.51927770678801,978.3201211249976,0.7579354975012854,-26546.10718647064,10.5,10499973453.892813,47.655,-122.3035,60.0,7.116666666666666
2026-02-06T21:30:15+00:00,SAT-58402,189.30720649419283,31.483938801757198,979.0760247020252,0.8065143705333072,-28247.544808481223,10.5,10499971752.45519,47.655,-122.3035,60.0,7.133333333333334
2026-02-06T21:30:16+00:00,SAT-58402,188.81731467085766,31.446418700638635,979.8803769188303,0.8549727389670808,-29944.761849727212,10.5,10499970055.23815,47.655,-122.3035,60.0,7.15
2026-02-06T21:30:17+00:00,SAT-58402,188.32866027043144,31.406735259439532,980.7330575938704,0.9033038005320668,-31637.52006592074,10.5,10499968362.479935,47.655,-122.3035,60.0,7.166666666666667
2026-02-06T21:30:18+00:00,SAT-58402,187.84130957553086,31.36490726333453,981.6339397615693,0.951500840447633,-33325.58427704057,10.5,10499966674.415724,47.655,-122.3035,60.0,7.183333333333334
2026-02-06T21:30:19+00:00,SAT-58402,187.35532776158155,31.320954401005746,982.5828897595705,0.9995572449457639,-35008.72284095459,10.5,10499964991.277159,47.655,-122.3035,60.0,7.2
2026-02-06T21:30:20+00:00,SAT-58402,186.87077884793524,31.27489723755161,983.5797673294818,1.0474664988960245,-36686.707570235994,10.5,10499963313.292429,47.655,-122.3035,60.0,7.216666666666667
2026-02-06T21:30:21+00:00,SAT-58402,186.38772565591913,31.22675718677021,984.6244257152443,1.0952221904973163,-38359.31389648842,10.5,10499961640.686104,47.655,-122.3035,60.0,7.233333333333333
2026-02-06T21:30:22+00:00,SAT-58402,185.90622976814936,31.17655648254996,985.7167117661899,1.1428180141796869,-40026.32097197959,10.5,10499959973.679028,47.655,-122.3035,60.0,7.25
2026-02-06T21:30:23+00:00,SAT-58402,185.42635149101122,31.124318149520143,986.8564660429823,1.1902477822570456,-41687.51207776874,10.5,10499958312.487923,47.655,-122.3035,60.0,7.266666666666667
2026-02-06T21:30:24+00:00,SAT-58402,184.948149815431,31.070065972624942,988.0435229351892,1.2375054232175133,-43342.67456382738,10.5,10499956657.325436,47.655,-122.3035,60.0,7.283333333333333
2026-02-06T21:30:25+00:00,SAT-58402,184.47168238355442,31.013824466301806,989.2777107771429,1.2845849665129117,-44991.59931630292,10.5,10499955008.400684,47.655,-122.3035,60.0,7.3
2026-02-06T21:30:26+00:00,SAT-58402,183.99700546470118,30.955618843944126,990.5588519486333,1.33148059053992,-46634.08243802171,10.5,10499953365.917562,47.655,-122.3035,60.0,7.316666666666666
2026-02-06T21:30:27+00:00,SAT-58402,183.524173915673,30.89547498483708,991.8867630234543,1.378186573246957,-48269.9235185331,10.5,10499951730.07648,47.655,-122.3035,60.0,7.333333333333333
2026-02-06T21:30:28+00:00,SAT-58402,183.05324116482424,30.833419403064454,993.2612548686882,1.424697340368938,-49898.92732349474,10.5,10499950101.072676,47.655,-122.3035,60.0,7.35
2026-02-06T21:30:29+00:00,SAT-58402,182.58425918081937,30.76947921401875,994.6821327920957,1.4710074256100365,-51520.90240010435,10.5,10499948479.097599,47.655,-122.3035,60.0,7.366666666666666
2026-02-06T21:30:30+00:00,SAT-58402,182.1172784596479,30.703682102564457,996.1491966497969,1.5171115142958216,-53135.66260598232,10.5,10499946864.337395,47.655,-122.3035,60.0,7.383333333333334
2026-02-06T21:30:31+00:00,SAT-58402,181.65234799932085,30.636056289153306,997.6622409974843,1.5630044140524078,-54743.02608223147,10.5,10499945256.973917,47.655,-122.3035,60.0,7.4
2026-02-06T21:30:32+00:00,SAT-58402,181.18951528817163,30.566630497238513,999.2210552123971,1.6086810801367657,-56342.816140611656,10.5,10499943657.183859,47.655,-122.3035,60.0,7.416666666666667
2026-02-06T21:30:33+00:00,SAT-58402,180.728826287827,30.49543391960126,1000.8254236405561,1.6541365816793647,-57934.86008121435,10.5,10499942065.13992,47.655,-122.3035,60.0,7.433333333333334
2026-02-06T21:30:34+00:00,SAT-58402,180.27032542965577,30.42249618627047,1002.4751257103308,1.6993661563080176,-59518.99110562076,10.5,10499940481.008894,47.655,-122.3035,60.0,7.45
2026-02-06T21:30:35+00:00,SAT-58402,179.81405559719803,30.3478473301821,1004.1699361004862,1.7443651681529158,-61095.04684606046,10.5,10499938904.953154,47.655,-122.3035,60.0,7.466666666666667
2026-02-06T21:30:36+00:00,SAT-58402,179.36005812463947,30.271517754915124,1005.909624866346,1.789129117030543,-62662.86968707099,10.5,10499937337.130314,47.655,-122.3035,60.0,7.483333333333333
2026-02-06T21:30:37+00:00,SAT-58402,178.90837279433092,30.193538202276116,1007.6939575751135,1.8336536555375227,-64222.30736419656,10.5,10499935777.692636,47.655,-122.3035,60.0,7.5
2026-02-06T21:30:38+00:00,SAT-58402,178.45903783238447,30.11393971945456,1009.5226954582447,1.8779345868113977,-65773.21288556124,10.5,10499934226.787115,47.655,-122.3035,60.0,7.516666666666667
2026-02-06T21:30:39+00:00,SAT-58402,178.01208990755825,30.03275362664758,1011.3955955615836,1.921967835131642,-67315.44350219192,10.5,10499932684.556498,47.655,-122.3035,60.0,7.533333333333333
